order_id,customer_id,seller_id,order_date,approved_date,ship_date,delivered_date,estimated_delivery,product_category,payment_type,payment_installments,price,freight_value,order_qty,total_value,review_score,customer_state,on_time_delivery,delivery_days
ORD100000,CUST19538,SELL4533,2018-01-25,2018-01-25 22:00:00,2018-01-27,2018-02-02,2018-02-23,furniture,credit_card,3,35.01,2.16,1,37.17,1.0,MG,1,6
ORD100001,CUST43700,SELL3144,2017-04-05,2017-04-05 16:00:00,2017-04-09,2017-04-21,2017-05-13,home_appliances,credit_card,1,138.59,34.53,1,173.12,5.0,SP,1,12
ORD100002,CUST25433,SELL1035,2018-05-16,2018-05-16 18:00:00,2018-05-18,2018-06-01,2018-06-17,electronics,credit_card,1,136.75,10.65,1,147.4,5.0,SP,1,14
ORD100003,CUST51108,SELL1717,2017-08-08,2017-08-08 09:00:00,2017-08-13,2017-08-21,2017-08-29,toys,debit_card,8,21.09,2.7,1,23.79,5.0,SP,1,8
ORD100004,CUST79673,SELL1883,2017-04-24,2017-04-24 02:00:00,2017-04-27,2017-05-03,2017-05-15,electronics,credit_card,1,19.37,1.98,1,21.35,5.0,RJ,1,6
ORD100005,CUST86599,SELL3558,2017-11-24,2017-11-24 16:00:00,2017-11-25,2017-12-11,2017-12-12,electronics,credit_card,3,21.98,5.67,1,27.65,4.0,SP,1,16
ORD100006,CUST43283,SELL3755,2017-06-29,2017-06-29 18:00:00,2017-07-03,2017-07-16,2017-07-18,books,credit_card,3,363.24,88.93,1,452.17,4.0,SP,1,13
ORD100007,CUST96980,SELL3975,2018-03-30,2018-03-30 08:00:00,2018-03-31,2018-04-27,2018-04-10,electronics,boleto,1,26.07,2.12,5,132.47,5.0,RJ,0,27
ORD100008,CUST84755,SELL4283,2017-06-09,2017-06-09 17:00:00,2017-06-14,2017-06-21,2017-07-09,clothing,credit_card,1,154.49,38.9,1,193.39,4.0,PE,1,7
ORD100009,CUST41539,SELL1723,2018-07-14,2018-07-14 02:00:00,2018-07-17,2018-07-29,2018-08-03,home_appliances,credit_card,1,144.79,40.77,2,330.35,4.0,SP,1,12
ORD100010,CUST85734,SELL3596,2018-02-23,2018-02-23 10:00:00,2018-02-25,2018-03-09,2018-03-26,home_appliances,credit_card,2,20.8,2.18,1,22.98,4.0,AM,1,12
ORD100011,CUST70314,SELL4321,2017-09-28,2017-09-28 23:00:00,2017-10-01,2017-10-31,2017-10-21,home_appliances,credit_card,1,48.88,9.95,1,58.83,5.0,MG,0,30
ORD100012,CUST74318,SELL3348,2017-11-30,2017-11-30 08:00:00,2017-12-01,2017-12-31,2018-01-08,beauty,credit_card,2,412.82,103.4,5,2167.5,5.0,MS,1,30
ORD100013,CUST13167,SELL2822,2018-03-24,2018-03-25 00:00:00,2018-03-28,2018-04-16,2018-05-03,sports,credit_card,2,18.04,3.67,3,57.79,4.0,RJ,1,19
ORD100014,CUST99744,SELL3692,2018-06-23,2018-06-23 12:00:00,2018-06-28,2018-07-23,2018-08-04,home_appliances,boleto,2,25.15,4.17,4,104.77,4.0,SP,1,25
ORD100015,CUST76381,SELL4272,2017-05-12,2017-05-12 12:00:00,2017-05-16,2017-05-24,2017-05-26,home_appliances,credit_card,1,56.69,14.99,1,71.68,5.0,RS,1,8
ORD100016,CUST29867,SELL1905,2017-08-13,2017-08-13 05:00:00,2017-08-16,2017-09-02,2017-08-28,electronics,voucher,1,61.97,14.29,1,76.26,5.0,SP,0,17
ORD100017,CUST37515,SELL3795,2018-04-10,2018-04-10 21:00:00,2018-04-15,2018-04-27,2018-04-29,furniture,credit_card,2,166.23,46.03,3,544.72,1.0,CE,1,12
ORD100018,CUST55058,SELL4919,2017-09-04,2017-09-04 23:00:00,2017-09-05,2017-10-05,2017-10-14,electronics,credit_card,1,67.17,10.97,1,78.14,4.0,SC,1,30
ORD100019,CUST71144,SELL4500,2018-03-16,2018-03-16 05:00:00,2018-03-20,2018-04-02,2018-04-13,electronics,credit_card,1,62.06,6.56,1,68.62,5.0,RJ,1,13
ORD100020,CUST30995,SELL1879,2016-12-16,2016-12-16 13:00:00,2016-12-20,2017-01-07,2017-01-10,clothing,credit_card,4,-99.0,25.48,1,141.19,4.0,MG,1,18
ORD100021,CUST72717,SELL4481,2017-04-30,2017-04-30 02:00:00,2017-05-02,2017-05-16,2017-06-03,clothing,credit_card,4,43.92,12.27,1,56.19,1.0,SP,1,14
ORD100022,CUST82945,SELL1897,2018-01-23,2018-01-23 08:00:00,2018-01-25,2018-02-10,2018-02-20,furniture,credit_card,1,346.7,18.49,1,365.19,5.0,SP,1,16
ORD100023,CUST59679,SELL4642,2018-07-31,2018-07-31 11:00:00,2018-08-03,2018-08-23,2018-08-18,home_appliances,credit_card,2,,11.58,1,65.0,5.0,MG,0,20
ORD100024,CUST67018,SELL2331,2017-03-01,2017-03-01 16:00:00,2017-03-04,2017-03-12,2017-03-14,beauty,credit_card,1,24.2,5.13,1,29.33,5.0,SP,1,8
ORD100025,CUST81361,SELL4201,2018-03-29,2018-03-29 20:00:00,2018-03-31,2018-04-29,2018-05-07,toys,credit_card,3,207.83,50.51,1,258.34,5.0,BA,1,29
ORD100026,CUST87136,SELL1100,2017-05-06,2017-05-06 20:00:00,2017-05-10,2017-06-06,2017-06-04,books,credit_card,1,206.27,18.25,1,224.52,5.0,AM,0,27
ORD100027,CUST23176,SELL3692,2017-11-26,2017-11-26 07:00:00,2017-12-01,2017-12-17,2017-12-13,food,credit_card,1,25.65,3.19,1,28.84,4.0,MG,0,16
ORD100028,CUST95602,SELL4270,2016-11-29,2016-11-29 15:00:00,2016-12-01,2016-12-22,2016-12-23,beauty,credit_card,2,89.72,6.94,2,186.38,5.0,RS,1,21
ORD100029,CUST51502,SELL4029,2017-09-23,2017-09-23 01:00:00,2017-09-24,2017-10-19,2017-10-12,health,credit_card,2,26.77,1.46,1,28.23,5.0,RJ,0,25
ORD100030,CUST62536,SELL4422,2018-07-06,2018-07-06 09:00:00,2018-07-09,2018-08-04,2018-07-22,home_appliances,voucher,4,113.3,20.85,2,247.45,5.0,RS,0,26
ORD100031,CUST51735,SELL4824,2017-12-01,2017-12-01 05:00:00,2017-12-06,2017-12-17,2017-12-29,electronics,credit_card,1,33.15,5.37,1,38.52,5.0,SP,1,11
ORD100032,CUST54104,SELL4565,2018-01-21,2018-01-21 11:00:00,2018-01-25,2018-02-20,2018-02-08,electronics,credit_card,1,99.21,17.78,1,116.99,4.0,SP,0,26
ORD100033,CUST26747,SELL1421,2017-02-05,2017-02-06 00:00:00,2017-02-09,2017-02-24,2017-02-22,food,credit_card,1,46.65,11.21,1,57.86,4.0,SP,0,15
ORD100034,CUST67383,SELL4466,2017-02-20,2017-02-20 05:00:00,2017-02-25,2017-03-27,2017-03-16,clothing,boleto,2,13.08,0.96,1,14.04,5.0,SP,0,30
ORD100035,CUST37421,SELL3484,2017-08-31,2017-08-31 17:00:00,2017-09-02,2017-10-01,2017-10-09,beauty,voucher,2,52.23,14.05,1,66.28,5.0,GO,1,29
ORD100036,CUST52687,SELL1999,2017-11-04,2017-11-04 15:00:00,2017-11-07,2017-11-30,2017-12-12,furniture,voucher,4,32.23,8.36,1,40.59,4.0,SP,1,23
ORD100037,CUST37751,SELL2574,2017-09-04,2017-09-04 11:00:00,2017-09-05,2017-10-04,2017-10-02,toys,boleto,3,73.22,12.17,2,158.61,5.0,MG,0,29
ORD100038,CUST28725,SELL4422,2017-09-19,2017-09-19 06:00:00,2017-09-24,2017-09-30,2017-10-08,beauty,credit_card,1,120.27,23.91,2,264.45,2.0,MG,1,6
ORD100039,CUST69147,SELL4112,2017-04-24,2017-04-24 03:00:00,2017-04-26,2017-05-19,2017-05-16,clothing,credit_card,1,56.13,7.86,4,232.38,5.0,SP,0,23
ORD100040,CUST58060,SELL1737,2017-08-30,2017-08-30 03:00:00,2017-09-03,2017-10-03,2017-10-08,electronics,boleto,8,516.18,70.14,1,586.32,5.0,CE,1,30
ORD100041,CUST51950,SELL3036,2017-12-12,2017-12-12 12:00:00,2017-12-16,2017-12-22,2018-01-10,books,credit_card,4,199.77,17.17,1,216.94,5.0,BA,1,6
ORD100042,CUST62841,SELL2548,2017-11-29,2017-11-29 08:00:00,2017-12-01,2017-12-11,2018-01-05,health,credit_card,2,23.71,3.29,1,27.0,5.0,ES,1,10
ORD100043,CUST36835,SELL3385,2017-08-21,2017-08-21 22:00:00,2017-08-26,2017-09-07,2017-10-03,health,boleto,1,143.85,42.75,1,186.6,5.0,MG,1,12
ORD100044,CUST25478,SELL2083,2018-05-05,2018-05-05 04:00:00,2018-05-06,2018-05-21,2018-06-05,books,credit_card,3,26.11,5.55,1,31.66,5.0,RS,1,15
ORD100045,CUST52687,SELL4161,2017-05-08,2017-05-08 11:00:00,2017-05-09,2017-06-02,2017-06-17,automotive,debit_card,1,43.97,6.29,1,50.26,5.0,ES,1,24
ORD100046,CUST89676,SELL2462,2017-11-21,2017-11-21 09:00:00,2017-11-24,2017-12-23,2017-12-26,books,boleto,1,49.58,14.1,1,63.68,5.0,SP,1,29
ORD100047,CUST42486,SELL1251,2017-05-23,2017-05-23 21:00:00,2017-05-24,2017-06-13,2017-06-15,sports,credit_card,1,89.56,21.72,1,111.28,5.0,SP,1,20
ORD100048,CUST53467,SELL2094,2017-04-28,2017-04-28 17:00:00,2017-05-03,2017-05-24,2017-05-13,food,credit_card,1,153.18,20.58,3,480.12,5.0,PE,0,21
ORD100049,CUST80556,SELL4608,2016-11-11,2016-11-11 23:00:00,2016-11-13,2016-11-28,2016-12-02,books,credit_card,1,53.94,3.91,1,57.85,5.0,SP,1,15
ORD100050,CUST19524,SELL4134,2017-05-19,2017-05-19 02:00:00,2017-05-20,2017-06-04,2017-06-14,electronics,boleto,1,42.09,2.15,1,44.24,5.0,SP,1,15
ORD100051,CUST90143,SELL4121,2016-10-20,2016-10-20 15:00:00,2016-10-23,2016-11-11,2016-11-09,home_appliances,credit_card,1,100.98,17.12,2,219.08,4.0,SP,0,19
ORD100052,CUST63812,SELL4115,2017-06-23,2017-06-23 08:00:00,2017-06-27,2017-07-11,2017-07-07,health,credit_card,4,78.6,21.73,2,178.93,5.0,SP,0,14
ORD100053,CUST50329,SELL1858,2018-03-02,2018-03-02 07:00:00,2018-03-04,2018-03-10,2018-03-15,home_appliances,boleto,2,246.92,71.78,1,318.7,4.0,BA,1,6
ORD100054,CUST76158,SELL3394,2017-08-23,2017-08-23 09:00:00,2017-08-27,2017-09-21,2017-10-03,toys,credit_card,2,45.44,3.11,3,139.43,4.0,MT,1,25
