age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,y
61.0,management,divorced,basic.9y,no,no,no,cellular,sep,wed,7.0,8,999,0,nonexistent,-1.8,93.419,-43.2,5.0,5099,no
51.0,admin.,married,basic.4y,no,yes,no,cellular,oct,fri,67.0,2,999,0,nonexistent,-1.7,93.716,-37.0,3.43,5191,no
51.0,blue-collar,single,high.school,no,yes,no,cellular,may,mon,325.0,2,999,0,nonexistent,-1.7,93.608,-37.2,2.717,4963,no
75.0,blue-collar,divorced,university.degree,no,no,no,cellular,sep,thu,126.0,13,20,4,failure,1.4,93.996,-40.2,2.839,4963,no
73.0,admin.,single,university.degree,no,yes,no,cellular,feb,mon,479.0,1,999,0,nonexistent,1.4,93.792,-40.2,1.906,5099,yes
76.0,blue-collar,married,university.degree,no,no,no,cellular,nov,mon,258.0,8,999,0,nonexistent,1.1,93.205,-36.2,1.496,5017,no
36.0,blue-collar,divorced,university.degree,no,yes,no,telephone,may,tue,46.0,11,999,0,nonexistent,1.1,93.445,-42.6,4.243,4963,no
60.0,student,married,university.degree,no,unknown,yes,telephone,may,fri,269.0,11,17,2,success,1.1,92.899,-43.3,2.838,5076,no
76.0,services,married,basic.6y,no,yes,unknown,cellular,jun,thu,103.0,1,999,0,nonexistent,-0.1,94.026,-27.9,3.281,4963,no
31.0,admin.,married,basic.9y,no,no,no,telephone,mar,tue,344.0,14,999,0,nonexistent,1.1,93.935,-37.6,3.536,5008,no
78.0,admin.,single,high.school,no,yes,no,cellular,dec,thu,44.0,5,999,0,nonexistent,-0.1,92.997,-39.6,4.59,4963,no
65.0,technician,single,basic.9y,no,yes,no,telephone,nov,tue,200.0,3,999,0,nonexistent,-0.1,93.1,-46.0,1.046,5099,no
,entrepreneur,married,basic.9y,no,yes,no,telephone,nov,tue,0.0,9,999,0,nonexistent,-0.1,93.153,-35.9,4.859,5076,no
56.0,services,single,university.degree,no,no,unknown,telephone,jun,fri,482.0,13,999,0,nonexistent,-0.1,93.635,-41.1,2.474,5099,no
24.0,technician,married,professional.course,unknown,no,no,cellular,dec,mon,38.0,13,999,0,nonexistent,-1.8,93.385,-51.6,1.677,5099,no
47.0,housemaid,single,university.degree,unknown,yes,no,telephone,may,wed,127.0,13,999,0,nonexistent,-0.1,93.164,-38.9,2.153,5099,no
83.0,blue-collar,married,professional.course,no,no,no,cellular,nov,wed,300.0,9,999,0,nonexistent,-1.8,93.343,-31.8,5.0,5191,no
71.0,technician,single,high.school,no,yes,yes,telephone,jul,tue,218.0,14,999,0,nonexistent,-0.1,92.672,-39.6,4.176,5017,no
62.0,services,married,basic.9y,no,yes,no,cellular,apr,wed,130.0,6,999,0,nonexistent,-0.1,93.942,-41.0,5.0,5099,no
69.0,technician,divorced,basic.6y,no,yes,no,telephone,dec,mon,66.0,3,999,0,nonexistent,1.1,93.844,-48.0,5.0,5191,no
19.0,services,single,basic.6y,unknown,yes,no,cellular,nov,tue,245.0,6,999,0,nonexistent,1.1,93.893,-43.1,2.302,5176,no
80.0,admin.,single,basic.9y,no,yes,no,cellular,mar,wed,265.0,4,999,0,nonexistent,1.1,93.725,-37.1,3.159,5228,no
70.0,blue-collar,married,high.school,no,no,no,cellular,dec,tue,330.0,7,999,0,nonexistent,-0.1,92.739,-36.3,4.35,5076,yes
24.0,services,married,high.school,no,no,no,cellular,jun,tue,101.0,10,999,0,nonexistent,-1.8,93.363,-46.0,4.299,5017,no
82.0,services,divorced,university.degree,no,no,no,telephone,jan,wed,706.0,14,999,0,nonexistent,-0.1,93.913,-42.1,4.347,5008,no
81.0,management,married,high.school,no,no,no,cellular,oct,thu,102.0,7,999,0,nonexistent,-0.1,93.946,-43.3,3.992,5017,no
24.0,technician,married,basic.9y,no,yes,no,cellular,may,thu,160.0,13,999,0,nonexistent,-0.1,94.169,-39.7,5.0,5017,no
21.0,admin.,married,university.degree,no,yes,unknown,telephone,dec,thu,49.0,3,999,0,nonexistent,1.4,93.382,-45.8,1.814,4963,no
